iter	Passed	Remaining
0	0	90
1	1	79
2	2	74
3	2	68
4	3	67
5	4	67
6	5	66
7	5	67
8	6	68
9	7	67
10	8	67
11	9	67
12	9	65
13	10	65
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	17	56
23	17	56
24	18	55
25	19	54
26	19	53
27	20	53
28	21	52
29	22	51
30	22	51
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	36	38
49	37	37
50	38	37
51	39	36
52	40	36
53	41	35
54	42	34
55	43	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
