iter	Passed	Remaining
0	131	131141
1	132	66075
2	134	44627
3	135	33792
4	137	27429
5	139	23039
6	140	19875
7	141	17507
8	144	15954
9	146	14458
10	147	13223
11	148	12205
12	149	11345
13	150	10614
14	151	9974
15	152	9408
16	154	8905
17	155	8456
18	157	8154
19	159	7792
20	160	7462
21	161	7171
22	162	6918
23	164	6672
24	165	6443
25	166	6234
26	167	6035
27	168	5848
28	169	5674
29	171	5534
30	172	5390
31	173	5251
32	174	5119
33	175	4993
34	176	4878
35	178	4777
36	179	4672
37	180	4572
38	181	4476
39	182	4384
40	183	4296
41	186	4257
42	187	4178
43	188	4106
44	190	4040
45	191	3980
46	193	3916
47	194	3853
48	195	3797
49	196	3738
50	199	3703
51	200	3655
52	202	3615
53	203	3564
54	204	3514
55	205	3466
56	206	3420
57	207	3374
58	208	3330
59	209	3287
60	210	3244
61	211	3204
62	215	3200
63	216	3166
64	217	3130
65	218	3097
66	219	3062
67	220	3027
68	221	2993
69	222	2960
70	223	2928
71	224	2899
72	225	2869
73	232	2909
74	233	2880
75	234	2853
76	235	2825
77	236	2797
78	237	2770
79	238	2744
80	239	2719
81	240	2694
82	241	2665
83	243	2653
84	244	2633
85	245	2610
86	246	2589
87	247	2567
88	249	2549
89	250	2531
90	251	2511
91	252	2491
92	253	2473
93	254	2454
94	257	2457
95	259	2444
96	260	2425
97	261	2407
98	263	2393
99	264	2378
100	265	2361
101	266	2344
102	267	2328
103	268	2313
104	269	2298
105	270	2283
106	273	2283
107	274	2270
108	275	2255
109	277	2241
110	278	2227
111	279	2214
112	280	2200
113	281	2187
114	282	2174
115	283	2161
116	284	2148
117	286	2140
118	288	2134
119	289	2123
120	290	2111
121	291	2097
122	292	2086
123	293	2076
124	294	2064
125	296	2053
126	296	2040
127	298	2030
128	299	2020
129	300	2009
130	303	2010
131	304	2000
132	305	1990
133	306	1980
134	307	1971
135	308	1961
136	309	1950
137	310	1940
138	311	1932
139	313	1923
140	314	1913
141	314	1901
142	317	1903
143	319	1896
144	320	1887
145	321	1877
146	322	1869
147	323	1861
148	324	1853
149	325	1844
150	326	1836
151	327	1828
152	328	1819
153	329	1811
154	333	1816
155	334	1810
156	335	1801
157	336	1795
158	338	1790
159	339	1783
160	340	1774
161	341	1767
162	342	1760
163	343	1752
164	344	1744
165	346	1741
166	347	1735
167	348	1728
168	350	1721
169	351	1716
170	352	1710
171	354	1704
172	355	1698
173	356	1692
174	357	1686
175	358	1680
176	360	1677
177	362	1671
178	363	1665
179	364	1659
180	365	1653
181	366	1649
182	368	1645
183	369	1639
184	370	1633
185	371	1627
186	372	1621
187	373	1614
188	377	1619
189	378	1613
190	379	1607
191	380	1601
192	382	1597
193	383	1591
194	384	1586
195	385	1580
196	386	1574
197	387	1568
198	388	1562
199	389	1556
200	391	1556
201	392	1551
202	393	1545
203	394	1540
204	396	1537
205	397	1533
206	398	1527
207	399	1522
208	401	1517
209	402	1512
210	403	1507
211	404	1502
212	405	1499
213	407	1495
214	408	1490
215	409	1484
216	410	1480
217	411	1475
218	412	1470
219	413	1466
220	414	1461
221	415	1457
222	416	1452
223	417	1447
224	420	1448
225	421	1444
226	423	1440
227	424	1437
228	426	1437
229	428	1433
230	429	1428
231	430	1423
232	431	1419
233	432	1414
234	433	1409
235	434	1406
236	435	1403
237	437	1400
238	438	1396
239	439	1392
240	440	1388
241	441	1384
242	442	1379
243	443	1375
244	445	1371
245	446	1367
246	447	1362
247	448	1358
248	450	1360
249	452	1357
250	453	1353
251	454	1349
252	455	1345
253	456	1341
254	457	1337
255	458	1333
256	459	1329
257	460	1325
258	461	1321
259	462	1317
260	466	1320
261	468	1319
262	469	1315
263	470	1312
264	472	1309
265	473	1305
266	474	1302
267	475	1298
268	476	1294
269	477	1290
270	479	1290
271	481	1287
272	482	1284
273	483	1280
274	484	1277
275	486	1275
276	487	1271
277	488	1268
278	489	1265
279	490	1262
280	492	1259
281	494	1257
282	495	1255
283	496	1252
284	497	1249
285	499	1246
286	501	1244
287	502	1241
288	503	1238
289	504	1235
290	505	1232
291	506	1228
292	511	1234
293	512	1231
294	514	1228
295	515	1225
296	516	1222
297	517	1219
298	518	1216
299	519	1213
300	521	1210
301	522	1207
302	524	1205
303	525	1202
304	526	1199
305	527	1196
306	528	1193
307	529	1190
308	530	1187
309	532	1185
310	534	1184
311	535	1181
312	539	1184
313	540	1181
314	541	1178
315	542	1174
316	543	1171
317	544	1168
318	546	1165
319	547	1163
320	548	1160
321	549	1156
322	550	1153
323	551	1150
324	554	1151
325	555	1148
326	556	1145
327	557	1142
328	559	1140
329	560	1137
330	561	1134
331	562	1131
332	563	1128
333	564	1126
334	565	1123
335	570	1126
336	571	1124
337	572	1121
338	573	1118
339	575	1116
340	576	1113
341	577	1110
342	578	1107
343	579	1104
344	580	1101
345	581	1099
346	583	1097
347	584	1095
348	585	1092
349	586	1089
350	587	1086
351	589	1084
352	590	1081
353	591	1078
354	592	1076
355	593	1073
356	594	1070
357	595	1067
358	597	1066
359	598	1064
360	599	1061
361	600	1059
362	602	1056
363	603	1054
364	604	1051
365	605	1048
366	606	1046
367	607	1043
368	608	1040
369	609	1038
370	611	1036
371	612	1034
372	614	1032
373	615	1029
374	616	1027
375	617	1024
376	618	1022
377	619	1019
378	620	1017
379	621	1014
380	622	1011
381	623	1009
382	625	1007
383	629	1009
384	630	1006
385	631	1004
386	633	1003
387	634	1000
388	635	998
389	636	995
390	637	993
391	638	990
392	639	988
393	641	987
394	643	985
395	644	982
396	645	980
397	647	978
398	648	976
399	649	973
400	650	971
401	651	968
402	652	966
403	653	963
404	654	961
405	657	961
406	658	959
407	659	957
408	660	954
409	662	952
410	663	951
411	664	948
412	666	946
413	667	944
414	668	941
415	669	939
416	673	941
417	674	939
418	675	936
419	676	934
420	678	932
421	679	930
422	680	928
423	681	926
424	682	923
425	683	921
426	684	919
427	689	921
428	690	918
429	691	916
430	692	913
431	693	912
432	694	910
433	696	907
434	697	905
435	698	903
436	699	900
437	700	898
438	701	897
439	703	894
440	704	892
441	705	890
442	706	887
443	707	885
444	708	883
445	709	881
446	710	878
447	711	876
448	712	874
449	713	871
450	714	869
451	715	867
452	717	866
453	718	863
454	719	861
455	720	859
456	721	857
457	722	855
458	723	853
459	724	851
460	725	848
461	727	846
462	728	844
463	729	842
464	730	840
465	732	838
466	733	836
467	734	834
468	735	832
469	736	830
470	737	828
471	738	825
472	739	823
473	740	821
474	741	819
475	742	817
476	743	815
477	744	812
478	747	813
479	749	811
480	750	809
481	751	807
482	752	805
483	753	803
484	754	801
485	755	799
486	756	797
487	757	795
488	759	793
489	761	792
490	762	790
491	763	788
492	764	786
493	765	784
494	767	782
495	768	780
496	769	778
497	770	776
498	771	774
499	772	772
500	773	770
501	775	769
502	776	767
503	778	766
504	779	763
505	780	761
506	781	760
507	782	758
508	784	756
509	785	754
510	786	752
511	787	750
512	789	749
513	791	748
514	792	746
515	793	744
516	796	743
517	797	742
518	798	740
519	800	738
520	801	736
521	802	734
522	803	732
523	808	734
524	809	732
525	810	730
526	812	729
527	813	727
528	814	725
529	816	723
530	817	721
531	818	720
532	820	718
533	821	716
534	822	714
535	823	712
536	824	711
537	826	709
538	827	707
539	828	705
540	829	703
541	830	702
542	831	700
543	833	698
544	834	696
545	835	695
546	837	693
547	838	691
548	840	690
549	841	688
550	842	686
551	843	684
552	844	682
553	845	680
554	846	678
555	848	677
556	849	675
557	850	674
558	851	672
559	853	670
560	854	668
561	855	666
562	856	665
563	857	663
564	858	661
565	859	659
566	861	657
567	863	657
568	865	655
569	866	653
570	868	652
571	870	651
572	871	649
573	872	647
574	873	645
575	874	644
576	876	642
577	878	641
578	879	639
579	880	637
580	884	637
581	885	635
582	886	634
583	887	632
584	888	630
585	890	628
586	894	629
587	896	627
588	897	626
589	898	624
590	899	622
591	900	620
592	901	618
593	902	616
594	903	614
595	904	612
596	905	611
597	907	609
598	908	608
599	909	606
600	911	604
601	912	603
602	914	601
603	915	600
604	916	598
605	918	596
606	919	595
607	922	594
608	924	593
609	925	591
610	926	589
611	927	587
612	928	586
613	929	584
614	930	582
615	931	580
616	932	578
617	933	577
618	935	575
619	940	576
620	941	574
621	942	572
622	943	571
623	944	569
624	945	567
625	946	565
626	947	563
627	949	562
628	951	560
629	952	559
630	953	557
631	955	556
632	956	554
633	957	552
634	958	550
635	959	549
636	960	547
637	961	545
638	962	543
639	964	542
640	966	541
641	968	539
642	969	538
643	971	536
644	972	535
645	973	533
646	974	531
647	975	529
648	976	528
649	977	526
650	979	525
651	981	523
652	983	522
653	984	520
654	985	519
655	987	517
656	988	515
657	989	514
658	990	512
659	991	511
660	993	509
661	995	508
662	996	506
663	998	505
664	999	503
665	1001	502
666	1002	500
667	1003	498
668	1004	497
669	1006	495
670	1007	493
671	1021	498
672	1022	496
673	1023	495
674	1029	495
675	1030	494
676	1031	492
677	1034	491
678	1035	489
679	1036	487
680	1039	486
681	1040	485
682	1042	483
683	1043	482
684	1044	480
685	1045	478
686	1046	476
687	1047	475
688	1049	473
689	1050	471
690	1051	470
691	1052	468
692	1053	466
693	1060	467
694	1061	465
695	1062	464
696	1063	462
697	1064	460
698	1065	459
699	1067	457
700	1068	455
701	1069	454
702	1071	452
703	1073	451
704	1074	449
705	1075	447
706	1076	446
707	1078	444
708	1079	443
709	1080	441
710	1081	439
711	1082	437
712	1083	436
713	1087	435
714	1089	434
715	1090	432
716	1092	431
717	1093	429
718	1094	427
719	1095	426
720	1097	424
721	1098	422
722	1101	422
723	1104	420
724	1105	419
725	1106	417
726	1108	416
727	1109	414
728	1110	412
729	1111	411
730	1113	409
731	1115	408
732	1117	407
733	1119	405
734	1120	404
735	1121	402
736	1123	400
737	1124	399
738	1125	397
739	1126	395
740	1127	394
741	1131	393
742	1132	391
743	1134	390
744	1135	388
745	1136	386
746	1137	385
747	1138	383
748	1139	381
749	1140	380
750	1141	378
751	1143	377
752	1145	375
753	1146	374
754	1148	372
755	1149	370
756	1150	369
757	1151	367
758	1152	366
759	1153	364
760	1154	362
761	1155	360
762	1157	359
763	1160	358
764	1162	357
765	1163	355
766	1164	353
767	1165	352
768	1166	350
769	1167	348
770	1168	347
771	1169	345
772	1170	343
773	1173	342
774	1175	341
775	1176	339
776	1178	338
777	1179	336
778	1180	334
779	1181	333
780	1182	331
781	1183	329
782	1184	328
783	1185	326
784	1187	325
785	1190	324
786	1191	322
787	1192	320
788	1193	319
789	1194	317
790	1195	315
791	1197	314
792	1198	312
793	1199	311
794	1200	309
795	1203	308
796	1205	306
797	1206	305
798	1207	303
799	1208	302
800	1209	300
801	1210	298
802	1212	297
803	1213	295
804	1213	294
805	1214	292
806	1218	291
807	1220	290
808	1221	288
809	1222	286
810	1223	285
811	1224	283
812	1225	281
813	1227	280
814	1228	278
815	1229	277
816	1230	275
817	1233	274
818	1235	272
819	1236	271
820	1237	269
821	1238	268
822	1239	266
823	1240	264
824	1241	263
825	1242	261
826	1243	260
827	1244	258
828	1245	256
829	1248	255
830	1249	254
831	1250	252
832	1251	250
833	1252	249
834	1254	247
835	1255	246
836	1256	244
837	1257	243
838	1258	241
839	1259	239
840	1260	238
841	1263	237
842	1265	235
843	1266	234
844	1267	232
845	1268	230
846	1269	229
847	1270	227
848	1271	226
849	1272	224
850	1273	223
851	1274	221
852	1275	219
853	1280	218
854	1282	217
855	1283	215
856	1284	214
857	1285	212
858	1286	211
859	1287	209
860	1288	208
861	1290	206
862	1291	204
863	1292	203
864	1294	202
